,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
102,realme 10 Pro 5G,Hyperspace,128,8,5000,108MP,16MP,False,17.07,Qualcomm Snapdragon 695 5G,19999.0
103,realme 10 Pro 5G,Dark Matter,128,6,5000,108MP,16MP,False,17.07,Qualcomm Snapdragon 695 5G,18999.0
104,realme 10 Pro 5G,Nebula Blue,128,8,5000,108MP,16MP,False,17.07,Qualcomm Snapdragon 695 5G,19999.0
105,realme 10 Pro 5G,Hyperspace,128,6,5000,108MP,16MP,False,17.07,Qualcomm Snapdragon 695 5G,18999.0
106,POCO C50,Country Green,32,3,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6299.0
107,realme Narzo 30 Pro 5G,Blade Silver,128,8,5000,48MP,16MP,False,16.51,MediaTek Dimensity 800U,15999.0
108,micromax 2,Blade Silver,128,8,1900,2MP,0MP,False,16.71,SC6531E,1849.0
109,Infinix Note 12 Pro 5G,Force Black,128,8,5000,108MP,16MP,False,17.02,Mediatek Dimensity 810 5G,15999.0
110,Infinix Note 12 Pro 5G,Snowfall,128,8,5000,108MP,16MP,False,17.02,Mediatek Dimensity 810 5G,15999.0
111,POCO X5 5G,Supernova Green,128,6,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 695,15999.0
112,SAMSUNG Galaxy F14 5G,GOAT Green,128,4,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",13490.0
113,SAMSUNG Galaxy F23 5G,Aqua Blue,128,6,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 750G,16999.0
114,REDMI 10,Pacific Blue,128,6,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,10999.0
115,SAMSUNG Galaxy F14 5G,OMG Black,128,4,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",13490.0
116,micromax,OMG Black,128,4,1000,0MP,0MP,False,16.71,SC6531E,1422.0
117,MOTOROLA Edge 40,Eclipse Black,256,8,4400,50MP,32MP,False,16.64,Dimensity 8020,29999.0
118,micromax 1,Eclipse Black,256,8,800,0MP,0MP,False,16.71,SC6531E,1299.0
119,POCO M4 5G,Yellow,64,4,5000,50MP,8MP,False,16.71,Mediatek Dimensity 700,11999.0
120,POCO M4 5G,Yellow,128,6,5000,50MP,8MP,False,16.71,Mediatek Dimensity 700,13999.0
121,REDMI 10,Midnight Black,64,4,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,9499.0
122,Infinix Smart 7 HD,Ink Black,64,2,5000,8MP,5MP,True,16.76,Spreadtrum SC9863A1,6199.0
123,Infinix Smart 7 HD,Silk Blue,64,2,5000,8MP,5MP,True,16.76,Spreadtrum SC9863A1,6199.0
124,Infinix Smart 7 HD,Jade White,64,2,5000,8MP,5MP,True,16.76,Spreadtrum SC9863A1,6199.0
125,realme Narzo 30,Racing Silver,128,6,5000,48MP,16MP,False,16.51,MediaTek Helio G95,12499.0
126,Infinix NOTE 12i,Alpine White,64,4,5000,50MP,8MP,False,17.02,Mediatek Helio G85,9999.0
127,POCO X5 5G,Jaguar Black,256,8,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 695,17999.0
128,realme 10,Rush Black,64,4,5000,50MP,16MP,False,16.26,Mediatek Helio G99 Octa Core,12499.0
129,realme 8i,Space Black,64,4,5000,50MP,16MP,False,16.76,MediaTek Helio G96,11499.0
130,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",14490.0
131,REDMI A1+,Light Green,32,2,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6299.0
132,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",14490.0
133,Micromax 3,OMG Black,128,4,1020,2MP,0MP,False,16.71,MediaTek,2615.0
134,realme Narzo 30,Racing Blue,128,6,5000,48MP,16MP,False,16.51,MediaTek Helio G95,12499.0
135,Google Pixel 6a,Chalk,128,6,4410,12MP,8MP,False,16.71,Google Tensor,28999.0
136,Google Pixel 6a,Charcoal,128,6,4410,12MP,8MP,False,16.71,Google Tensor,28999.0
137,REDMI A1+,Black,32,2,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6299.0
138,Infinix HOT 20 5G,Blaster Green,64,4,5000,50MP,8MP,True,16.76,Dimensity 810,11499.0
139,Infinix NOTE 12i,Metaverse Blue,64,4,5000,50MP,8MP,False,17.02,Mediatek Helio G85,9999.0
140,realme GT 2,Steel Black,128,8,5000,50MP,16MP,False,16.81,Qualcomm Snapdragon 888,23999.0
141,realme GT 2,Paper White,128,8,5000,50MP,16MP,False,16.81,Qualcomm Snapdragon 888,23999.0
142,realme 10,Clash White,64,4,5000,50MP,16MP,False,16.26,Mediatek Helio G99 Octa Core,12499.0
143,REDMI Note 12,Sunrise Gold,64,6,5000,50MP,13MP,False,16.94,Snapdragon 685,14999.0
144,Infinix HOT 20 5G,Space Blue,64,4,5000,50MP,8MP,True,16.76,Dimensity 810,11499.0
145,REDMI Note 12 5G,Frosted Green,128,6,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 4 Gen 1,18999.0
146,REDMI Note 12 5G,Matte Black,128,6,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 4 Gen 1,18999.0
147,REDMI Note 12 5G,Mystique Blue,128,6,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 4 Gen 1,18999.0
148,Infinix NOTE 12i,Force Black,64,4,5000,50MP,8MP,False,17.02,Mediatek Helio G85,9999.0
149,REDMI Note 12 5G,Matte Black,128,4,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 4 Gen 1,16999.0
150,REDMI Note 12 5G,Mystique Blue,128,4,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 4 Gen 1,16999.0
151,Infinix HOT 20 5G,Racing Black,64,4,5000,50MP,8MP,True,16.76,Dimensity 810,11499.0
152,micromax 3,Racing Black,64,4,800,2MP,0MP,False,16.71,0 0 0 208MHz,2490.0
153,SAMSUNG Galaxy M04,Dark Blue,64,4,5000,13MP,5MP,False,16.51,MediaTek Helio P35,7961.0
154,MOTOROLA Edge 40,Nebula Green,256,8,4400,50MP,32MP,False,16.64,Dimensity 8020,29999.0
155,micromax 2,Nebula Green,256,8,800,0MP,0MP,False,16.71,SC6531E,1299.0
156,micromax 3,Nebula Green,256,4,1020,2MP,0MP,False,16.71,MediaTek,2499.0
157,REDMI 11 Prime,Flashy Black,128,6,5000,50MP,8MP,False,16.71,Helio G99,11999.0
158,REDMI 11 Prime,Peppy Purple,128,6,5000,50MP,8MP,False,16.71,Helio G99,11999.0
159,REDMI K50i 5G,Stealth Black,256,8,5080,64MP,16MP,False,16.76,Dimensity 8100,23999.0
160,MOTOROLA e40,Carbon Gray,64,4,5000,48MP,8MP,False,16.51,UNISOC T700,8999.0
161,REDMI 9 Activ,Coral Green,128,6,5000,13MP,5MP,False,16.59,Mediatek Helio G35,9499.0
162,REDMI Note 12,Ice Blue,64,6,5000,50MP,13MP,False,16.94,Snapdragon 685,14999.0
163,SAMSUNG Galaxy F23 5G,Copper Blush,128,6,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 750G,16999.0
164,MOTOROLA g42,Atlantic Green,64,4,5000,50MP,16MP,False,16.43,Qualcomm Snapdragon 680,11248.0
165,realme C25s,Watery Grey,128,4,6000,13MP,8MP,False,16.51,MediaTek Helio G85,9999.0
166,POCO X5 Pro 5G,Horizon Blue,256,8,5000,108MP,16MP,False,16.94,Qualcomm Snapdragon 778G,23999.0
167,realme 8i,Space Purple,128,6,5000,50MP,16MP,False,16.76,MediaTek Helio G96,17999.0
168,realme 10,Clash White,128,8,5000,50MP,16MP,False,16.26,Mediatek Helio G99 Octa Core,15499.0
169,MOTOROLA e13,Cosmic Black,64,2,5000,13MP,5MP,False,16.51,Unisoc T606,6799.0
